history1,history2,question,rewrite,model_output,accuracy,semantic_related
知道不世界篮球水平最高的联赛就是NBA,不,我也不打,我也不打篮球,我也不打NBA,,0
我的膝盖还在恢复中不能爬山,怎么回事还好吗,好多了不过还没全好,我的膝盖好多了不过还没全好,好多了不过还没全好,,0
我打算帮我家孩子找个辅导班 他成绩不错还想有一些拓展 你推荐个语文的辅导班呗,那您家孩子正在上几年级,我家孩子正在上四年级,我家孩子正在上四年级,语文辅导班推荐，针对四年级学生，成绩不错且需要拓展,,0
你有几个男朋友呢,你要帮我介绍嘛害羞,可以,可以帮你介绍,可以帮我介绍男朋友吗,,0
LOL游戏定理话越多的越菜,是这样的吗,我怎么觉得这是老版的,我怎么觉得LOL是老版的,我怎么觉得LOL游戏定理话越多的越菜这是老版的,,0
郑斯文是谁,你连自己是谁都不知道了嘛抓狂,我女朋友,我女朋友是郑斯文,郑斯文是谁的女朋友,,0
打狗棍是怎么变成灵魂摆渡的,灵魂摆渡好看吗,因为娘娘编剧才去看的大陆剧里确实算不错的了,因为娘娘编剧才去看的灵魂摆渡大陆剧里确实算不错的了,因为娘娘编剧的打狗棍在大陆剧中确实算不错的了,,0
张艺兴,其实越来越喜欢张艺兴了哈哈,喜欢,喜欢张艺兴,张艺兴喜欢,,0
约克大学,今年去约克吗,在这呆半天了,在约克呆半天了,约克大学在这呆半天了,,0
挪威,如果你想去挪威的话推荐你去看看莲花峰台山列岛也不错,有图片吗,有挪威的图片吗,莲花峰台山列岛有图片吗,,0
女孩子霸道不好,女人天生就是用来宠的,那就不能霸道,女孩子就不能霸道,女孩子霸道不好就不能霸道,,0
我是大哥大这部剧最近超火,在哪里看的,陪你看吧,陪你看我是大哥大吧,大哥大这部剧在哪里看,,0
景德镇有哪几所大学啊,景德镇有景德镇陶瓷学院景德镇学院,那我怎么还听说有工艺美院呢,那我怎么还听说景德镇有工艺美院呢,景德镇工艺美院是哪所大学吗,,0
把我的羊还给我,请你还给人家,我这就还给你,我这就把羊还给你,把我的羊还给你,,0
新加坡,新加坡今天的天气是暴雨24度到28度东南风小于3级,你骗我 今天没有下大雨啊,你骗我 新加坡今天没有下大雨啊,新加坡今天的天气是暴雨24度到28度东南风小于3级吗,,0
萧忆情是谁阿,一个很优秀的人,把自己也变得优秀 好好的爱自己关心他 那样的爱才持久,把自己也变得优秀 好好的爱自己关心萧忆情 那样的爱才持久,萧忆情应该怎样做才能让自己变得优秀，并好好爱自己、关心自己，从而让那样的爱变得持久？,,0
我家孩子小学 总体成绩在班级中游 但是英语是他的弱项 我打算给我家孩子报个英语辅导班 你帮我推荐一个嘛,那您家孩子正在上几年级,我家孩子上六年级了 马上小升初了,我家孩子上六年级了 马上小升初了,六年级孩子小升初英语辅导班推荐,,0
巧克力,巧克力是什么,糖,巧克力是糖,巧克力的糖分含量是多少,,0
对了最近有没有好看的电影推荐啊,僵尸好看吗,不是电影是游戏啊,僵尸不是电影是游戏啊,最近有没有好看的电影推荐啊不是电影是游戏啊,,0
那你知道生活大爆炸第十二季的豆瓣评分吗,这部剧的豆瓣评分可是非常高的 是9 6呢,生活大爆炸第十二季评分真的是很高 估计生活大爆炸第十二季会很好看,生活大爆炸第十二季评分真的是很高 估计生活大爆炸第十二季会很好看,生活大爆炸第十二季豆瓣评分很高吗,,0
你不是懂体育吗,体育不只是体育,那是什么,体育是什么,那体育不只是体育是什么,,0
我想去春天景色美的地方,离太阳最近的地方好美,你能推荐一下吗,你能推荐一下春天景色美的地方吗,你能推荐一下离太阳最近的地方吗,,0
刺杀骑士团长这本书怎么样,作者是谁,村上春树,刺杀骑士团长的作者是村上春树,刺杀骑士团长这本书的作者是谁,,0
小微巩义有什么好玩的呢,欢乐谷比较有名新建的哦,在哪里,欢乐谷在哪里,欢乐谷在巩义的哪里,,0
嗯 那下周三广州风沙大不大,不大 就是小微风 呵呵,好的 下周三广州户外紫外线强吗,好的 下周三广州户外紫外线强吗,下下周三广州户外紫外线强吗,,0
江门有什么好玩的呀,江门在哪,在阳江,江门在阳江,在阳江有什么好玩的吗,,0
