history1,history2,question,rewrite,model_output,accuracy
迪士尼哈哈,不知道,香港的,香港的迪士尼,香港的迪士尼乐园,
卡特和妖姬哪个厉害,卡特吧,我也觉得,我也觉得卡特厉害,我也觉得卡特厉害,
吃菜园小饼,不是一饼,么么哒真好吃,么么哒菜园小饼真好吃,菜园小饼么么哒真好吃,
行 听说石路步行街是苏州有名的景点 请问具体地址在哪儿,苏州市金阊区石路步行街,石路步行街门票多少钱,石路步行街门票多少钱,石路步行街门票多少钱,
麻烦你告诉黄炤焯,麻烦你告诉我下好嘛,我很想他,我很想黄炤焯,我很想黄炤焯,
梦幻花园你玩过吗,梦幻花园,好玩吧,梦幻花园好玩吧,梦幻花园好玩吧,
你好 我下周要去深圳出差 帮我查一下下周五杭州到深圳的航班,您可以乘坐海南航空HU7394 萧山国际机场T3 宝安国际机场T3,我晚上还有个会议参加 海南航空HU7394几点能够到达深圳啊,我晚上还有个会议参加 海南航空HU7394几点能够到达深圳啊,海南航空HU7394航班几点到达深圳,
你好 我想找一些好看的影视剧 你帮我找一部2010年代的美国电影吧 爱情片的,好的 为您找到怦然心动,怦然心动是什么时间上映的 主演名单里都有谁,怦然心动是什么时间上映的 主演名单里都有谁,怦然心动是什么时间上映的 主演名单里都有谁,
哦哦 好吧 那苏州太湖国家湿地公园附近有啥好吃的餐馆吗 家里人比较喜欢韩国料理,还真有的 但是就只有一家韩国料理,这家韩国料理叫啥 评分咋样,这家韩国料理叫啥 评分咋样,苏州太湖国家湿地公园附近的那家韩国料理叫啥名字，评分怎么样,
除此之外呢,哈尔滨众多沿江公园之一也是哈尔滨人傍晚休闲的最佳地点之一,还有其他地方嘛,哈尔滨还有其他地方嘛,哈尔滨除了沿江公园之外还有其他地方吗,
我想吃麻辣烫,挺不错的呀赶紧行动起来,你陪我一起吃嘛,你陪我一起吃麻辣烫嘛,我想吃麻辣烫你陪我一起吃嘛,
噬罪者多少集啊,13集电视连续剧 片长50分钟,噬罪者豆瓣评分怎么样,噬罪者豆瓣评分怎么样,噬罪者豆瓣评分怎么样,
山塘街的评分怎样,山塘街的评分为4 5分,山塘街的地址在什么地方,山塘街的地址在什么地方,山塘街的地址在什么地方,
下周三北京天气怎么样,是晴转多云的天气,下周三北京适合穿什么衣服的温度呢,下周三北京适合穿什么衣服的温度呢,下周三北京的天气适合穿什么衣服以及温度是多少,
你觉得薛之谦渣吗,认真的薛之谦认真的做音乐,他有很多黑料诶,薛之谦有很多黑料诶,薛之谦有很多黑料诶,
你好 我下周五上午要从厦门出差到北京 我想坐二等座的高铁 请问有哪个车次,您可以乘坐G322 厦门北 北京南,G322厦门到北京的二等座的票价多少,G322厦门到北京的二等座的票价多少,G322厦门北到北京南的二等座票价多少,
有没有好吃的地方啊 给我找一个面包甜点店啊 价位在偏贵的就行,为你推荐芳芳法餐厅 凡是去过的人都说好呢,芳芳法餐厅人均消费是多少 在什么位置上,芳芳法餐厅人均消费是多少 在什么位置上,芳芳法餐厅人均消费是多少 在什么位置上,
帮我查查下周二杭州出发去广州的高铁二等座就可以,这边推荐你 G99 杭州东 广州南,那G99的到达广州的时间是什么时候呢 还有二等座票价多少钱,那G99的到达广州的时间是什么时候呢 还有二等座票价多少钱,G99杭州东到广州南的到达时间是什么时候，二等座票价多少钱,
错哈哈我是处女座,哇哦原来你和范小微是一个星座的,你怎么看这个星座,你怎么看处女座,你怎么看处女座,
我家孩子现在在上小学六年级 马上小升初了 想给他找一个辅导班提升一下成绩 你有什么推荐吗,那您准备为您家孩子报哪个科目的辅导班呢,我打算给孩子报名小升初的英语辅导班,我打算给孩子报名小升初的英语辅导班,我打算给孩子报名小学六年级小升初的英语辅导班,
修理厂导航下,在斯柯达4s店,发导航定位给我,发斯柯达4s店的导航定位给我,修理厂导航定位发给我,
云南省红河州屏边县,云南是吗,是云南省的,红河州屏边县是云南省的,云南省红河州屏边县是云南省的,
你好像很喜欢看童话镇对不,是听童话镇,你有看这个电视剧吗,你有看童话镇吗,你有看童话镇这个电视剧吗,
毒枭豆瓣评分多少,豆瓣评分9 3分 也很高的,毒枭豆瓣评分这么高呀 再帮我找个香港的动作电影吧,毒枭豆瓣评分这么高呀 再帮我找个香港的动作电影吧,毒枭豆瓣评分9.3分这么高呀 再帮我找个香港的动作电影吧,
跟你说啊咱们这个年纪该开始养生了,怎么养生,赶早不赶晚没错的,养生赶早不赶晚没错的,养生要赶早不赶晚没错的,
你认识海宝吗,认识啊同班的,他不认识你,海宝不认识你,海宝不认识你,
你好 我要来苏州办事 顺便逛逛景点 我想问问有没有消费便宜的学校校园,苏州大学很符合您的要求,苏州大学有什么特点吗,苏州大学有什么特点吗,苏州大学有什么特点吗,
赵丽颖啊,有时候从一个人的偶像就能看出这个人的品行,她品行很好呀,赵丽颖品行很好呀,赵丽颖品行很好呀,
你吃早餐了吗,没钱吃早餐,我请你吃,我请你吃早餐,我请你吃早餐,
这儿能地铁直达吗 我想找个能地铁直达的地 因为我没开车,可以的 这个地方交通很方便的,诚品书店有什么特点吗,诚品书店有什么特点吗,诚品书店有什么特点吗,
你上次用的挂画真好看这附近有卖的吗,有卖的哦亲,可以告诉我在哪里吗,可以告诉我在哪里有卖挂画的吗,可以告诉我在哪里买上次用的挂画,
杨超越很可爱啊,杨超越挺懂得扬长避短的幽默感也不错,我喜欢她,我喜欢杨超越,我喜欢杨超越,
我想要大床房,好哒 帮您推荐苏州新城花园丽呈华廷酒店这一家,苏州新城花园丽呈华廷酒店的评分咋样,苏州新城花园丽呈华廷酒店的评分咋样,苏州新城花园丽呈华廷酒店的评分咋样,
不知道周庄多瓦台临河客栈的评分能不能让我满意呢,应该不会让你失望 评分是4 8分,评分4 8我很满意 周庄多瓦台临河客栈的停车场对外开放吗,评分4 8我很满意 周庄多瓦台临河客栈的停车场对外开放吗,周庄多瓦台临河客栈的停车场对外开放吗,
罗猪,罗猪是哪个,我同学,罗猪是我同学,罗猪是我同学,
我还想品尝一下美食 不知道有没有便宜点的面包甜点餐厅 帮我推荐一下,我建议您可以去乐乐茶 品尝一下美食,乐乐茶的评分是多少 人均消费又是多少呢,乐乐茶的评分是多少 人均消费又是多少呢,乐乐茶的评分是多少 人均消费又是多少呢,
