history1,history2,question,rewrite,model_output,accuracy,semantic_related
蟹王酒楼评分怎样,4 8,此外 我还要问一下常熟有没有价位便宜的酒店推荐一家 要有大床房的,此外 我还要问一下常熟有没有价位便宜的酒店推荐一家 要有大床房的,常熟价位便宜的有大床房的酒店推荐,,0
广州上下九有啥好吃的,有味道的广州,到底有啥好吃的,广州到底有啥好吃的,广州上下九到底有啥好吃的,,0
你好 我朋友来苏州找我玩 能在高新区帮我找一家便宜点的餐厅么,那里的餐厅还挺多的 我给你推荐一家桃花源记 他家还挺不错的,麻烦问一下桃花源记他家的推荐菜有啥呀 好吃么 主要高新区离我家近不然让你搜个远的,麻烦问一下桃花源记他家的推荐菜有啥呀 好吃么 主要高新区离我家近不然让你搜个远的,桃花源记餐厅的推荐菜有哪些，好吃吗？主要因为高新区离我家近，不然会让我搜远的。,,0
MU5132航班准点率咋样啊 我不想在机场等半天飞机,这个您放心 准点率是98 26,MU5132航班啥时候起飞啊,MU5132航班啥时候起飞啊,MU5132航班啥时候起飞啊,,1
你要鸡翅吗亲,亲 那你吃过鸡翅了吗,吃过了呢,吃过鸡翅了呢,吃过了鸡翅呢,,0
皇叔张公案,张公案2有了,好像是,好像是张公案2,好像是张公案2,,1
你好 请帮我看看下周二上午从北京到成都的高铁有哪个,当天有G571 北京西 成都东,G571下周二上午从北京到成都一等座多少钱,G571下周二上午从北京到成都一等座多少钱,G571下周二上午从北京西到成都东一等座多少钱,,0
醴陵啊我还真了解的不多欸为什么想问这个地方了,我在醴陵呀,这里是什么地方,醴陵是什么地方,这里是什么地方,,0
嗯 我看过詹姆斯 卡梅隆的其他电影 确实好看,嗯 我记得当时的泰坦尼克号 特别好看,是 对了 阿凡达的豆瓣评分是多少啊,是 对了 阿凡达的豆瓣评分是多少啊,阿凡达的豆瓣评分是多少,,0
好的 然后再帮我们看看 西山景区附近有没有4星级的酒店帮我们推荐一家 我们要订个大床房的,帮您查到漫心苏州天平山酒店离景点不太远,嗯 帮我们看下漫心苏州天平山酒店的电话号码好吧,嗯 帮我们看下漫心苏州天平山酒店的电话号码好吧,嗯帮我们看下漫心苏州天平山酒店的电话号码好吧,,1
下周三广州温度会冷吧 温度是多少度呢 我好增减衣物,最高温度19摄氏度 最低温度7摄氏度 可以带件长袖出门 早晚温差较大呦,19度呀 那我需不需要防晒呀 下周三广州紫外线强度怎么样呢,19度呀 那我需不需要防晒呀 下周三广州紫外线强度怎么样呢,下周三广州紫外线强度怎么样，19度需要防晒吗,,0
下周五苏州会不会有点冷 温度是多少呢,那天最高温度15摄氏度 最低温度8摄氏度,下周五苏州的紫外线强度是多少呢,下周五苏州的紫外线强度是多少呢,下周五苏州的紫外线强度是多少呢,,1
你说一下对张艾宇的认识,你怎么认识张艾宇,你知道他是谁吗,你知道张艾宇是谁吗,你知道张艾宇是谁吗,,1
张靓颖,超爱张靓颖,那你会唱她的歌吗,那你会唱张靓颖的歌吗,那你会唱张靓颖的歌吗,,1
知道不世界篮球水平最高的联赛就是NBA,不,我也不打,我也不打篮球,我也不打NBA,,0
你知道小王子吗,爱屋及乌爱一个人会让周围的一切变得美好连麦浪的金黄都会让人心醉,作者是谁呢,小王子的作者是谁呢,小王子的作者是谁呢,,1
你好 我平时特别喜欢追剧 尤其是美国的电视剧 可以请帮我找一部由戴米恩 路易斯参演的电视剧吗,没有问题 为你推荐这部由他主演的电视剧 兄弟连  相信你一定喜欢,兄弟连的导演是谁 主演都有谁呢,兄弟连的导演是谁 主演都有谁呢,兄弟连的导演是谁，主演都有谁,,0
